customer_id,cpf,first_name,last_name,country,state,city,birth_date,income,income_symbol,professional_status,email,phone_number,gender
d3f18d81-96b3-4395-b61e-c77625e36dd2,76591116125,Victoria,Kelly,Grenada,Florida,West Danielville,1961-09-30,83513.67,€,Retired,biancasummers@yahoo.com,(898)898-7376,Female
431596d2-0a10-463c-9ff3-24b8af8e9595,95964638457,Michael,Wagner,Mexico,Oregon,Lake Lisastad,1976-06-27,65801.89,€,Student,esawyer@brown.com,001-087-514-9805,Other
09d31b98-56ea-4e41-97f9-2394ff7d3711,09172991321,Dana,Ferguson,Hong Kong,Missouri,Maddoxshire,2001-11-18,42571.77,€,Unemployed,matthewsandrew@huffman.com,001-365-447-0156x6747,Male
4b93516b-e7ed-48e8-9ac7-932a25888d36,00042735599,Calvin,Holmes,Armenia,West Virginia,Port Sandra,1994-07-24,112342.15,£,Student,william51@gmail.com,813-049-2255,Male
070d2d9c-27db-46b7-b271-8275cf138c70,92427100595,Robert,Herrera,Oman,Indiana,Douglastown,1982-02-27,24666.11,$,Retired,vbaker@yahoo.com,347-021-5845,Male
724f9540-cb26-4174-b7e0-b3f286064a71,19351431070,Christine,Glover,Tuvalu,Connecticut,Ramseymouth,1979-07-30,80054.18,£,Employed,qpearson@trevino.com,+1-805-333-3932,Other
f0841808-c0ad-4a12-9b20-d45f1c6a49a6,36608988052,Jesse,Young,Grenada,Missouri,Lake Ericburgh,1984-01-31,95634.76,$,Employed,bpitts@yahoo.com,+1-004-147-3320x866,Other
335b9ab7-b107-4efd-87eb-30586e9b0225,15457182029,Patrick,Gordon,Argentina,Wyoming,Michaelhaven,1959-02-06,33731.71,$,Student,robert33@williams.org,743.586.2890x90416,Other
54fdc9ac-e068-4381-8761-7ef3d54bd0e3,30131421468,Kristen,Roberts,Kyrgyz Republic,Pennsylvania,Robertburgh,2005-07-09,63037.65,$,Employed,timothy23@patton.com,245.986.1483x6159,Other
bf7c4cf6-8147-451e-a415-912edf088705,77024652985,Charles,Henderson,Pitcairn Islands,Missouri,North Jimmyshire,1974-08-02,27815.8,$,Retired,joseph15@hotmail.com,001-855-894-0958,Male
0e1ee7ed-a8f5-4426-9a88-08e2dcb93a24,56423094390,Vickie,Villegas,Saint Kitts and Nevis,Rhode Island,Bakermouth,2001-12-20,80036.54,£,Retired,pierceronnie@colon.com,159-499-0277,Male
8e4076a8-0550-4608-aff3-ddf02da10573,68903415469,Wesley,Parks,Montserrat,Utah,Brittneyview,1975-12-29,71376.52,$,Retired,nathanieldavis@brown-shah.com,042-786-3123,Other
9430edc8-9cca-46c7-b0a6-873b064e8b6a,42705525734,Timothy,Moore,Uzbekistan,Nevada,Bryanmouth,1972-12-23,51807.25,£,Student,goodstefanie@jordan-torres.info,640.160.3833,Female
dc091028-3f13-4cdf-870b-c7f183a223d8,54280995346,Michael,Thompson,Angola,Pennsylvania,New Kevinland,1998-08-11,105401.21,£,Unemployed,jerry96@alvarez.info,(085)984-8121x47948,Other
5c3ac6ef-4d81-426a-b7b2-8598e270950c,39180003036,Megan,Miller,Saint Helena,Idaho,West Stephanie,1986-09-25,40973.78,£,Self-employed,jasonabbott@gmail.com,(760)833-0010,Female
2108887a-3e49-443b-934b-d0317bd2cb03,86849201719,Deborah,Sanchez,Dominica,Colorado,Johnmouth,1955-10-07,110564.78,$,Employed,williamsstephanie@jones.info,(892)897-4551,Other
4f8af7cb-9a51-49bc-b4be-c1b1432fc44c,78202704383,Sarah,Ibarra,Wallis and Futuna,Montana,East Sherylmouth,1996-03-20,22246.96,$,Unemployed,probinson@hotmail.com,001-174-442-8613x0616,Female
794afaf4-b8e1-47ff-b7a5-de564b704f8b,05468471370,Michelle,Davis,Canada,Wyoming,Martineztown,1966-02-27,77039.55,£,Student,michelle62@whitehead.com,602.788.1586,Other
0ba2695c-7957-4f7d-a0e9-b615842a1261,50359364306,Tara,Nielsen,Heard Island and McDonald Islands,Idaho,East Courtney,1960-02-23,93922.95,€,Student,mendozakaren@rodriguez-bryan.com,+1-597-347-1374,Other
4dc21608-70fa-42ad-b7e6-e2cdaa732a06,41650990235,William,Carter,Syrian Arab Republic,New Jersey,Huangport,1982-01-23,23897.95,£,Retired,jonesrachel@yahoo.com,001-313-285-9755x61325,Female
27e8332b-a37d-42b3-bad1-d6514c5059c7,49553381006,Kathleen,Welch,Indonesia,New Jersey,Fisherville,1989-01-29,100382.06,$,Student,elizabeth77@baker.com,931.176.1937x84400,Other
26ada0ca-ac18-4729-9330-0e1c6d6d4c55,05164897040,Gerald,Tucker,Guinea,Pennsylvania,Costaport,2006-05-24,81606.82,€,Student,jeffrey44@gmail.com,010.991.9268x7211,Other
3b2087a2-f432-4213-a008-15f683a7a2d1,14563674710,Cindy,Todd,Grenada,Pennsylvania,North John,1963-02-24,46465.29,£,Unemployed,oneillsarah@lopez-nguyen.net,(891)880-1151x415,Female
113ec7e8-1846-4ccd-af2f-d07778c36aff,82737131995,Sheri,Thomas,Iceland,Maine,North Brittanyhaven,1996-04-18,41679.53,$,Employed,julia72@bennett.com,(734)859-3267,Other
17bc4c53-0606-4374-a6fe-8dcf6f17a82c,80949242330,John,Aguirre,Egypt,Rhode Island,Dunnfort,1985-12-19,89112.3,£,Employed,littleemily@pierce.info,001-916-177-5888,Female
